,EL,ER,SL,SR
129,0.0,48.99930555555556,49.0,49.99930555555556
130,0.0,53.99930555555556,54.0,54.99930555555556
131,49.0,52.99930555555556,53.708333333333336,53.99930555555556
132,0.0,51.99930555555556,54.0,54.99930555555556
133,0.0,47.99930555555556,49.0,49.99930555555556
134,0.0,45.99930555555556,46.0,46.99930555555556
135,0.0,48.99930555555556,50.0,50.99930555555556
136,0.0,43.99930555555556,50.0,50.99930555555556
137,0.0,43.99930555555556,48.0,48.99930555555556
138,0.0,40.99930555555556,48.0,48.99930555555556
139,0.0,47.99305555555556,48.0,48.99930555555556
140,45.0,50.99930555555556,50.0,50.99930555555556
141,0.0,49.99930555555556,49.0,53.99930555555556
142,42.0,45.70763888888889,50.0,50.99930555555556
143,42.0,44.99930555555556,46.0,46.99930555555556
144,45.0,47.99930555555556,50.0,50.99930555555556
145,0.0,45.99930555555556,40.0,40.99930555555556
146,43.0,48.99930555555556,48.0,48.99930555555556
147,43.0,48.99930555555556,48.0,48.99930555555556
148,0.0,52.99930555555556,50.0,50.99930555555556
149,0.0,51.99930555555556,51.0,51.99930555555556
150,0.0,53.99930555555556,51.0,51.99930555555556
151,0.0,48.99930555555556,52.0,52.99930555555556
152,0.0,48.99930555555556,52.0,52.99930555555556
153,49.0,54.99930555555556,53.0,53.99930555555556
154,0.0,52.99930555555556,53.0,53.99930555555556
155,0.0,52.99930555555556,54.0,54.99930555555556
156,41.0,44.99930555555556,49.0,49.99930555555556
157,41.0,49.99930555555556,50.0,50.99930555555556
158,40.0,42.99930555555556,44.0,44.5
159,0.0,45.99930555555556,46.0,46.99930555555556
160,0.0,48.99930555555556,49.0,49.99930555555556
161,41.0,52.99930555555556,52.0,52.99930555555556
162,49.0,49.99930555555556,55.0,55.99930555555556
163,0.0,49.99930555555556,0.0,55.979166666666664
164,0.0,53.99930555555556,55.0,55.99930555555556
165,48.0,50.99930555555556,54.0,54.99930555555556
166,0.0,50.99930555555556,51.0,51.99930555555556
167,0.0,37.99930555555556,44.0,44.99930555555556
168,0.0,53.99930555555556,53.0,53.99930555555556
169,39.0,50.99930555555556,50.0,50.99930555555556
170,0.0,48.99930555555556,51.0,0.0
171,0.0,50.99930555555556,51.0,51.99930555555556
172,0.0,54.99930555555556,57.0,57.99930555555556
173,0.0,56.99930555555556,56.0,56.99930555555556
174,0.0,52.875,58.0,58.99930555555556
175,0.0,56.99930555555556,58.0,58.99930555555556
176,0.0,60.99930555555556,60.0,60.99930555555556
177,0.0,52.99930555555556,53.0,53.99930555555556
178,0.0,60.99930555555556,60.0,60.99930555555556
179,0.0,59.958333333333336,60.0,60.99930555555556
180,46.0,53.99930555555556,53.0,59.99930555555556
181,0.0,48.99930555555556,53.0,53.99930555555556
